OptionName|FinancialReport|X-Day|Premium|PoW_Simulation_Mean_Earnings|100k_Invested_Loss_Mean|1_2_3_ProbOfWorthless_Weighted|ProbWorthless_Bayesian_IsoCal|1_ProbOfWorthless_Original|2_ProbOfWorthless_Calibrated|3_ProbOfWorthless_Historical_IV|Lower_Bound_at_Accuracy|LossAtBadDecline|LossAtWorstDecline|PoW_Stats_MedianLossPct|PoW_Stats_WorstLossPct|PoW_Stats_MedianLoss|PoW_Stats_WorstLoss|PoW_Stats_MedianProbOfWorthless|PoW_Stats_MinProbOfWorthless|PoW_Stats_MaxProbOfWorthless|LossAt100DayWorstDecline|LossAt_2008_100DayWorstDecline|Mean_Accuracy|Lower_Bound_HistMedianIV_at_Accuracy|Lower_Bound|Lower_Bound_HistMedianIV|Bid_Ask_Mid_Price|Option_Price_Min|NumberOfContractsBasedOnLimit|Bid|ProfitLossPctLeastBad|Loss_Least_Bad|IV_AllMedianIV_Maximum100DaysToExp_Ratio|StockPrice|DaysToExpiry|AskBidSpread|Underlying_Value|StrikePrice|StockPrice_After_2008_100DayWorstDecline|LossAt50DayWorstDecline|LossAt_2008_50DayWorstDecline|ProfitLossPctBad|ProfitLossPctWorst|ProfitLossPct100DayWorst|ImpliedVolatility|TodayStockMedianIV_Maximum100DaysToExp|AllMedianIV_Maximum100DaysToExp|ExpiryDate_Lower_Bound_Minus_Pct_Based_on_Accuracy|StrikeBelowLowerAtAcc|StockName|Country|SampleSize|Confidence|ExpiryDate|Ask|WorstHistoricalDecline|BadHistoricalDecline|ImpliedVolatilityUntilExpiry|StockPrice_After_100DayWorstDecline|StockPrice_After_50DayWorstDecline|StockPrice_After_2008_50DayWorstDecline|100DayMaxPrice|100DayMaxPriceDate|50DayMaxPrice|50DayMaxPriceDate|Historical100DaysWorstDecline|Historical50DaysWorstDecline|2008_100DaysWorstDecline|2008_50DaysWorstDecline|IV_2sigma_Decline|BreakevenDecline|CVaR10pct_Decline
HEXB6R75|Y|Y|1150|-301.3279161157775|-5580.488201441906|0.7701107937516793|0.8480531813865148|0.8650894718915138|0.806|0.703|80.5|-33765|-52598|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-26280|-61640|0.7948698489241312|87.8|76.5|85.6|1.0|1.52|13.0|0.7|0.044|-26280|1.828151494821491|96.58|61|1.86|97500|75.0|26.7|0|0|0.034|0.022|0.044|0.4226842190621688|0.3879504052128271|0.2312085296319721|0.2|Y|Hexagon B|SE|1053.0|HIGH|2026-06-18|1.3|-0.651529887035236|-0.5015333622015427|0.2079604175907224|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.4159|-0.2338|-0.6184807802039327
HEXB6R78|Y|Y|1605|-353.98853011768506|-5866.95588506802|0.7493016946346434|0.8154825026511134|0.8296333305739918|0.771|0.703|81.0|-37210|-56043|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-29725|-65085|0.7948698489241312|87.8|77.0|85.6|1.35|1.63|13.0|1.05|0.054|-29725|1.7779994129727117|96.58|61|1.57|101400|78.0|26.7|0|0|0.043|0.029|0.054|0.4110886299599302|0.3879504052128271|0.2312085296319721|0.2|Y|Hexagon B|SE|943.0|HIGH|2026-06-18|1.65|-0.651529887035236|-0.5015333622015427|0.2022553937380166|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.4045|-0.2064|-0.6184807802039327
HEXB6R80|Y|Y|1830|-186.62837962760048|-6081.131219952674|0.7327000532539565|0.7823596792668958|0.8017171903305709|0.743|0.703|81.2|-36399|-53783|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-29490|-62130|0.7948698489241312|87.8|77.3|85.6|1.65|1.9|12.0|1.35|0.062|-29490|1.750496607213154|96.58|61|1.44|96000|80.0|26.7|0|0|0.05|0.034|0.062|0.4047297466795092|0.3879504052128271|0.2312085296319721|0.2|Y|Hexagon B|SE|873.0|HIGH|2026-06-18|1.95|-0.651529887035236|-0.5015333622015427|0.199126826446479|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3983|-0.1888|-0.6184807802039327
HEXB6R82|Y|Y|2250|-256.91189086561275|-6081.131219952674|0.6931831627788209|0.7823596792668958|0.7711344339917383|0.707|0.657|81.4|-38379|-55763|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-31470|-64110|0.7948698489241312|87.8|77.7|85.6|2.0|2.29|12.0|1.7|0.071|-31470|1.7228561400515323|96.58|61|1.35|98400|82.0|26.7|0|0|0.059|0.04|0.071|0.3983390349087298|0.3879504052128271|0.2312085296319721|0.2||Hexagon B|SE|873.0|HIGH|2026-06-18|2.3|-0.651529887035236|-0.5015333622015427|0.1959825995541148|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.392|-0.1717|-0.6184807802039327
HEXB6R84|Y|Y|2760|-139.39049323078612|-5724.913215384665|0.6648582641549421|0.701067615658363|0.7369395975235966|0.673|0.637|81.6|-40269|-57653|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-33360|-66000|0.7948698489241312|87.8|77.9|85.6|2.425|2.35|12.0|2.1|0.083|-33360|1.7012632626667643|96.58|61|1.31|100800|84.0|26.7|0|0|0.069|0.048|0.083|0.3933465774780741|0.3879504052128271|0.2312085296319721|0.2||Hexagon B|SE|843.0|HIGH|2026-06-18|2.75|-0.651529887035236|-0.5015333622015427|0.1935263130753184|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3871|-0.1554|-0.6184807802039327
HEXB6R85|Y|Y|3030|-34.011077690762505|-5893.339462214639|0.6530966265396899|0.6662484316185696|0.7194501609736172|0.656|0.633|81.8|-41199|-58583|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-34290|-66930|0.7948698489241312|87.8|78.0|85.6|2.65|2.8|12.0|2.3|0.088|-34290|1.6870661288206374|96.58|61|1.3|102000|85.0|26.7|0|0|0.074|0.052|0.088|0.3900640790365228|0.3879504052128271|0.2312085296319721|0.2||Hexagon B|SE|797.0|HIGH|2026-06-18|3.0|-0.651529887035236|-0.5015333622015427|0.1919113255364874|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3838|-0.1473|-0.6184807802039327
HEXB6R86|Y|Y|3270|-165.940922094987|-5893.339462214639|0.6353507245200469|0.6662484316185696|0.7031154577804621|0.639|0.614|82.0|-42159|-59543|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-35250|-67890|0.7948698489241312|87.8|78.3|85.6|2.85|2.96|12.0|2.5|0.093|-35250|1.6611504591906383|96.58|61|1.28|103200|86.0|26.7|0|0|0.078|0.055|0.093|0.3840721551669428|0.3879504052128271|0.2312085296319721|0.2||Hexagon B|SE|797.0|HIGH|2026-06-18|3.2|-0.651529887035236|-0.5015333622015427|0.1889633020856606|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3779|-0.1391|-0.6184807802039327
HEXB6R88|Y|Y|3645|331.47604441133126|-5693.743679307628|0.6317176697093093|0.6346633416458853|0.6623904188082083|0.645|0.608|82.1|-40198|-56134|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-33865|-63785|0.7948698489241312|87.8|78.4|85.6|3.45|2.85|11.0|3.05|0.108|-33865|1.6517491183068689|96.58|61|1.26|96800|88.0|26.7|0|0|0.091|0.065|0.108|0.3818984849646374|0.3879504052128271|0.2312085296319721|0.2||Hexagon B|SE|802.0|HIGH|2026-06-18|3.85|-0.651529887035236|-0.5015333622015427|0.1878938574681661|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3758|-0.1246|-0.6184807802039327
HEXB6R90|Y|Y|4305|48.69449107120241|-5888.441687925709|0.5970210996220443|0.5989085948158254|0.6225408129501028|0.605|0.581|82.3|-41738|-57674|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-35405|-65325|0.7948698489241312|87.8|78.8|85.6|4.05|3.64|11.0|3.6|0.122|-35405|1.622176587517462|96.58|61|1.25|99000|90.0|26.7|0|0|0.103|0.075|0.122|0.3750610636033225|0.3879504052128271|0.2312085296319721|0.2||Hexagon B|SE|733.0|HIGH|2026-06-18|4.5|-0.651529887035236|-0.5015333622015427|0.184529849687848|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3691|-0.1101|-0.6184807802039327
HEXB6R92|Y|Y|5157|-102.69688809834284|-6827.616715821887|0.5819544778254381|0.5939226519337016|0.5785523652834741|0.6|0.561|82.4|-43086|-59021|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-36752|-66672|0.7948698489241312|87.8|78.8|85.6|4.824999999999999|4.81|11.0|4.35|0.14|-36752|1.616264458247159|96.58|61|1.22|101200|92.0|26.7|0|0|0.12|0.087|0.14|0.3736941288877416|0.3879504052128271|0.2312085296319721|0.2||Hexagon B|SE|724.0|HIGH|2026-06-18|5.3|-0.651529887035236|-0.5015333622015427|0.1838573185133883|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3677|-0.0974|-0.6184807802039327
