name|month|year|open|high|low|close|close_previous_month|low_previous_month|pct_return_month|pct_open_to_low|pct_low_to_high|pct_low_previous_month_to_low_current_month|day_low_day_of_month|day_high_day_of_month
Kinnevik AB ser. B|May|2019|130.02|130.54|113.09|113.8|130.02|113.37|-0.1247500384556222|-0.1302107368097216|0.1543018834556546|-0.0024697891858516|31|7
Kinnevik AB ser. B|Jun|2019|113.23|119.63|111.63|113.56|113.8|113.09|-0.0021089630931457|-0.0141305307780624|0.0716653229418615|-0.01291007162437|4|11
Kinnevik AB ser. B|Jul|2019|114.36|118.26|112.72|116.05|113.56|111.63|0.0219267347657625|-0.0143406785589367|0.0491483321504613|0.0097644002508285|22|25
Kinnevik AB ser. B|Aug|2019|116.67|126.16|110.55|125.74|116.05|112.72|0.0834984920292976|-0.0524556441244535|0.1412030755314337|-0.0192512420156139|15|30
Kinnevik AB ser. B|Sep|2019|125.74|131.99|117.18|121.75|125.74|110.55|-0.0317321456974709|-0.0680769842532208|0.1263867554190134|0.0599728629579376|25|6
Kinnevik AB ser. B|Oct|2019|121.84|127.48|115.44|124.09|121.75|117.18|0.0192197125256674|-0.0525279054497702|0.1042966042966042|-0.0148489503328214|3|17
Kinnevik AB ser. B|Nov|2019||134.17|120.43|130.54|124.09|115.44|0.0519784027721814||0.1140911732956901|0.0432259182259182|7|27
Kinnevik AB ser. B|Dec|2019|130.65|138.1|128.51|136.31|130.54|120.43|0.0442010111843114|-0.0163796402602374|0.0746245428371332|0.0670929170472471|3|30
Kinnevik AB ser. B|Jan|2020|136.73|141.01|133.15|138.57|136.31|128.51|0.0165798547428654|-0.0261829883712424|0.0590311678558015|0.0361061396000312|14|31
Kinnevik AB ser. B|Feb|2020|138.63|143.33|113.9|115.77|138.57|133.15|-0.1645377787399869|-0.1783885161941859|0.2583845478489903|-0.1445737889598197|28|5
Kinnevik AB ser. B|Mar|2020|117.56|123.81|78.24|98.27|115.77|113.9|-0.1511617863004232|-0.3344675059544063|0.5824386503067487|-0.3130816505706761|17|5
Kinnevik AB ser. B|Apr|2020|96.43|121.61|95.3|120.24|98.27|78.24|0.2235677215833926|-0.0117183449134088|0.2760755508919204|0.2180470347648262|1|20
Kinnevik AB ser. B|May|2020|116.61|142.44|114.58|141.07|120.24|95.3|0.1732368596141051|-0.0174084555355458|0.2431488916041193|0.202308499475341|4|29
Kinnevik AB ser. B|Jun|2020|142.44|152.68|130.18|145.89|141.07|114.58|0.0341674346069327|-0.0860713282785733|0.1728376094638193|0.1361494152557165|15|5
Kinnevik AB ser. B|Jul|2020|145.89|188.1|144.35|182.56|145.89|130.18|0.2513537596819524|-0.0105558982795256|0.3030827848978179|0.1088492856045475|1|23
Kinnevik AB ser. B|Aug|2020|182.74|203.96|181.9|198.84|182.56|144.35|0.0891761612620507|-0.004596694757579|0.1212754260582738|0.260131624523727|3|27
Kinnevik AB ser. B|Sep|2020|200.0|217.83|182.65|217.05|198.84|181.9|0.0915811707905853|-0.08675|0.1926088146728717|0.0041231445849367|8|30
Kinnevik AB ser. B|Oct|2020|216.49|230.98|207.32|217.35|217.05|182.65|0.0013821700069107|-0.0423576146704236|0.1141230947327802|0.1350670681631534|8|20
Kinnevik AB ser. B|Nov|2020|217.35|254.14|216.52|254.14|217.35|207.32|0.1692661605705083|-0.0038187255578558|0.1737483835211526|0.0443758441057302|2|30
Kinnevik AB ser. B|Dec|2020|252.62|253.99|227.02|247.32|254.14|216.52|-0.0268356024238608|-0.1013379779906579|0.1188001057175578|0.0484943654165896|10|30
Kinnevik AB ser. B|Jan|2021|249.4|261.9|239.55|244.52|247.32|227.02|-0.0113213650331553|-0.0394947874899759|0.0932999373825922|0.0551933750330366|28|7
Kinnevik AB ser. B|Feb|2021|245.57|266.07|223.69|233.57|244.52|239.55|-0.0447816129559954|-0.089098831290467|0.1894586257767445|-0.0662074723439783|23|3
Kinnevik AB ser. B|Mar|2021|235.89|258.9|225.63|252.74|233.57|223.69|0.0820738964764311|-0.0434948492941624|0.1474537960377608|0.0086727167061557|8|23
Kinnevik AB ser. B|Apr|2021|253.18|290.36|252.08|278.57|252.74|225.63|0.1021998892142121|-0.0043447349711667|0.1518565534750873|0.1172273190621815|1|19
Kinnevik AB ser. B|May|2021|276.79|318.8|233.93|316.7|278.57|252.08|0.1368776250134615|-0.1548466346327541|0.3628008378574787|-0.0720009520787051|12|31
Kinnevik AB ser. B|Jun|2021|317.4|346.6|294.6|342.6|316.7|233.93|0.0817808651720872|-0.0718336483931946|0.1765105227427019|0.2593510879322875|7|30
