HistoricalPeakThreshold,ProbMethod,CurrentProb_Bin,DTE_Bin,RecoveryCandidate_N,RecoveryCandidate_WorthlessCount,RecoveryCandidate_WorthlessRate_pct,AllOptions_N,AllOptions_WorthlessCount,AllOptions_WorthlessRate_pct,RecoveryAdvantage_pp
0.8,Bayesian Calibrated,60-70%,22-28,2337,1878,80.3594351732991,2972,2066,69.51547779273217,10.843957380566934
0.8,Bayesian Calibrated,60-70%,36+,8672,6794,78.34409594095942,10605,7243,68.2979726544083,10.046123286551122
0.8,Bayesian Calibrated,60-70%,8-14,4237,3281,77.43686570686806,6603,4368,66.15174920490686,11.285116501961198
0.8,Bayesian Calibrated,60-70%,29-35,1319,1015,76.95223654283548,1619,1090,67.32550957381099,9.626726969024489
0.8,Bayesian Calibrated,60-70%,0-7,2923,2225,76.12042422169004,6094,4001,65.65474236954381,10.465681852146233
0.8,Original Black-Scholes,80-90%,0-7,6709,5950,88.68683857504844,6709,5950,88.68683857504844,0.0
0.8,Original Black-Scholes,80-90%,15-21,7679,6893,89.76429222555021,7679,6893,89.76429222555021,0.0
0.8,Original Black-Scholes,80-90%,36+,14770,13417,90.83953960731212,14770,13417,90.83953960731212,0.0
0.8,Original Black-Scholes,80-90%,22-28,4293,3897,90.77568134171908,4293,3897,90.77568134171908,0.0
0.8,Original Black-Scholes,80-90%,8-14,8571,7524,87.78438921946096,8571,7524,87.78438921946096,0.0
0.8,Original Black-Scholes,80-90%,29-35,1925,1753,91.06493506493506,1925,1753,91.06493506493506,0.0
0.8,Original Black-Scholes,50-60%,0-7,1964,1448,73.72708757637476,6438,3952,61.385523454488975,12.341564121885781
0.8,Original Black-Scholes,50-60%,15-21,2693,2305,85.59227627181582,5443,3376,62.024618776410065,23.567657495405754
0.8,Original Black-Scholes,50-60%,22-28,1946,1738,89.31140801644398,3398,2237,65.83284284873456,23.47856516770942
0.8,Original Black-Scholes,50-60%,36+,7808,6543,83.79866803278688,13102,7799,59.525263318577316,24.273404714209562
0.8,Original Black-Scholes,50-60%,29-35,961,758,78.87617065556711,1595,949,59.49843260188088,19.37773805368623
0.8,Original Black-Scholes,50-60%,8-14,2843,2211,77.76996130847697,7514,4403,58.59728506787331,19.172676240603657
0.8,Original Black-Scholes,70-80%,15-21,5399,4756,88.09038710872383,6734,5464,81.14048114048114,6.949905968242689
0.8,Original Black-Scholes,70-80%,36+,12803,11273,88.04967585722096,14544,11884,81.71067106710672,6.339004790114245
0.8,Original Black-Scholes,70-80%,8-14,5723,4893,85.49711689673248,8607,6728,78.16893226443592,7.328184632296555
0.8,Original Black-Scholes,70-80%,22-28,3371,2968,88.04509047760308,3950,3241,82.05063291139241,5.99445756621067
0.8,Original Black-Scholes,70-80%,29-35,1518,1342,88.40579710144928,1764,1466,83.10657596371883,5.299221137730456
0.8,Original Black-Scholes,70-80%,0-7,3170,2700,85.17350157728707,7093,5683,80.12124629916819,5.052255278118878
0.8,Original Black-Scholes,60-70%,15-21,3801,3284,86.39831623257037,5954,4295,72.13637890493786,14.26193732763251
0.8,Original Black-Scholes,60-70%,0-7,2460,1951,79.3089430894309,6759,4800,71.01642254771417,8.292520541716726
0.8,Original Black-Scholes,60-70%,8-14,3974,3302,83.09008555611474,7837,5385,68.71251754497895,14.377568011135793
0.8,Original Black-Scholes,60-70%,36+,10221,8752,85.62762939047059,13819,9807,70.96750850278602,14.66012088768457
0.8,Original Black-Scholes,60-70%,22-28,2540,2244,88.34645669291339,3631,2642,72.76232442853208,15.58413226438131
0.8,Original Black-Scholes,60-70%,29-35,1209,1031,85.27708850289496,1659,1207,72.7546714888487,12.522417014046255
0.8,Bias Corrected,80-90%,0-7,6753,5788,85.7100547904635,6753,5788,85.7100547904635,0.0
0.8,Bias Corrected,80-90%,15-21,7237,6187,85.4912256459859,7237,6187,85.4912256459859,0.0
