Stock,Date,HitRate,Total
Boliden AB,2024-06,63.30275229357798,109
Boliden AB,2024-07,47.89915966386555,119
Boliden AB,2024-08,50.349650349650354,143
Boliden AB,2024-09,67.04545454545455,176
Boliden AB,2024-10,98.61111111111111,144
Boliden AB,2024-11,87.5,128
Boliden AB,2024-12,86.77685950413223,242
Boliden AB,2025-01,93.75,128
Boliden AB,2025-02,100.0,142
Boliden AB,2025-03,93.33333333333333,285
Boliden AB,2025-04,22.400000000000002,125
Boliden AB,2025-05,74.6268656716418,134
Boliden AB,2025-06,62.980769230769226,208
Boliden AB,2025-07,98.3739837398374,123
Boliden AB,2025-08,94.52054794520548,146
Boliden AB,2025-09,100.0,325
Boliden AB,2025-10,98.64864864864865,148
Boliden AB,2025-11,97.31543624161074,149
Boliden AB,2025-12,100.0,325
Castellum AB,2024-04,100.0,1
Castellum AB,2024-05,100.0,17
Castellum AB,2024-06,89.1891891891892,37
Castellum AB,2024-07,100.0,57
Castellum AB,2024-08,100.0,60
Castellum AB,2024-09,100.0,100
Castellum AB,2024-10,83.33333333333334,66
Castellum AB,2024-11,21.53846153846154,65
Castellum AB,2024-12,54.87804878048781,164
Castellum AB,2025-01,47.540983606557376,61
Castellum AB,2025-02,88.05970149253731,67
Castellum AB,2025-03,40.45454545454545,220
Castellum AB,2025-04,94.02985074626866,67
Castellum AB,2025-05,100.0,61
Castellum AB,2025-06,100.0,138
Castellum AB,2025-07,81.53846153846153,65
Castellum AB,2025-08,83.33333333333334,66
Castellum AB,2025-09,78.72340425531915,235
Castellum AB,2025-10,100.0,69
Castellum AB,2025-11,93.24324324324324,74
Castellum AB,2025-12,94.75806451612904,248
Dometic Group AB,2024-04,100.0,1
Dometic Group AB,2024-05,100.0,16
Dometic Group AB,2024-06,30.0,40
Dometic Group AB,2024-07,95.08196721311475,61
Dometic Group AB,2024-08,81.53846153846153,65
Dometic Group AB,2024-09,3.8095238095238098,105
Dometic Group AB,2024-10,52.94117647058824,68
Dometic Group AB,2024-11,67.16417910447761,67
Dometic Group AB,2024-12,30.0,170
Dometic Group AB,2025-01,77.77777777777779,63
Dometic Group AB,2025-02,98.52941176470588,68
Dometic Group AB,2025-03,39.111111111111114,225
Dometic Group AB,2025-04,10.44776119402985,67
Dometic Group AB,2025-05,65.0,60
Dometic Group AB,2025-06,31.654676258992804,139
Dometic Group AB,2025-07,100.0,65
Dometic Group AB,2025-08,100.0,65
Dometic Group AB,2025-09,93.22709163346613,251
Dometic Group AB,2025-10,100.0,68
Dometic Group AB,2025-11,6.756756756756757,74
Dometic Group AB,2025-12,96.42857142857143,252
EQT AB,2024-04,100.0,1
EQT AB,2024-05,100.0,18
EQT AB,2024-06,78.04878048780488,41
EQT AB,2024-07,98.36065573770492,61
EQT AB,2024-08,100.0,66
EQT AB,2024-09,100.0,104
EQT AB,2024-10,94.02985074626866,67
EQT AB,2024-11,35.294117647058826,68
EQT AB,2024-12,91.12426035502959,169
EQT AB,2025-01,100.0,63
EQT AB,2025-02,94.11764705882352,68
EQT AB,2025-03,92.88888888888889,225
EQT AB,2025-04,13.432835820895523,67
EQT AB,2025-05,91.80327868852459,61
EQT AB,2025-06,74.82014388489209,139
EQT AB,2025-07,100.0,65
EQT AB,2025-08,100.0,66
EQT AB,2025-09,100.0,250
EQT AB,2025-10,86.95652173913044,69
EQT AB,2025-11,91.8918918918919,74
EQT AB,2025-12,100.0,258
"Electrolux, AB ser. B",2024-04,100.0,4
"Electrolux, AB ser. B",2024-05,92.53731343283582,67
"Electrolux, AB ser. B",2024-06,61.32075471698113,106
"Electrolux, AB ser. B",2024-07,92.85714285714286,112
"Electrolux, AB ser. B",2024-08,87.94326241134752,141
"Electrolux, AB ser. B",2024-09,99.42196531791907,173
"Electrolux, AB ser. B",2024-10,77.62237762237763,143
"Electrolux, AB ser. B",2024-11,58.26771653543307,127
"Electrolux, AB ser. B",2024-12,96.23430962343096,239
"Electrolux, AB ser. B",2025-01,92.1875,128
"Electrolux, AB ser. B",2025-02,83.09859154929578,142
"Electrolux, AB ser. B",2025-03,88.61209964412812,281
"Electrolux, AB ser. B",2025-04,20.161290322580644,124
"Electrolux, AB ser. B",2025-05,51.908396946564885,131
"Electrolux, AB ser. B",2025-06,56.038647342995176,207
"Electrolux, AB ser. B",2025-07,81.30081300813008,123
"Electrolux, AB ser. B",2025-08,72.22222222222221,144
"Electrolux, AB ser. B",2025-09,33.33333333333333,324
"Electrolux, AB ser. B",2025-10,95.94594594594594,148
"Electrolux, AB ser. B",2025-11,91.2751677852349,149
"Electrolux, AB ser. B",2025-12,81.53846153846153,325
Elekta AB ser. B,2024-04,100.0,1
Elekta AB ser. B,2024-05,100.0,16
Elekta AB ser. B,2024-06,21.951219512195124,41
Elekta AB ser. B,2024-07,54.09836065573771,61
Elekta AB ser. B,2024-08,74.24242424242425,66
Elekta AB ser. B,2024-09,75.23809523809524,105
Elekta AB ser. B,2024-10,100.0,67
Elekta AB ser. B,2024-11,52.17391304347826,69
Elekta AB ser. B,2024-12,67.05882352941175,170
Elekta AB ser. B,2025-01,96.82539682539682,63
Elekta AB ser. B,2025-02,86.76470588235294,68
Elekta AB ser. B,2025-03,69.43231441048034,229
Elekta AB ser. B,2025-04,13.432835820895523,67
Elekta AB ser. B,2025-05,88.52459016393442,61
Elekta AB ser. B,2025-06,38.1294964028777,139
Elekta AB ser. B,2025-07,100.0,65
Elekta AB ser. B,2025-08,100.0,66
Elekta AB ser. B,2025-09,86.91983122362869,237
Elekta AB ser. B,2025-10,100.0,69
Elekta AB ser. B,2025-11,37.83783783783784,74
Elekta AB ser. B,2025-12,95.0,300
Epiroc AB ser. A,2024-05,100.0,18
Epiroc AB ser. A,2024-06,95.0,40
Epiroc AB ser. A,2024-07,81.9672131147541,61
Epiroc AB ser. A,2024-08,36.36363636363637,66
Epiroc AB ser. A,2024-09,84.46601941747572,103
Epiroc AB ser. A,2024-10,100.0,66
Epiroc AB ser. A,2024-11,79.1044776119403,67
Epiroc AB ser. A,2024-12,85.20710059171599,169
Epiroc AB ser. A,2025-01,100.0,63
Epiroc AB ser. A,2025-02,100.0,68
Epiroc AB ser. A,2025-03,100.0,221
Epiroc AB ser. A,2025-04,41.7910447761194,67
Epiroc AB ser. A,2025-05,100.0,60
Epiroc AB ser. A,2025-06,89.85507246376811,138
Epiroc AB ser. A,2025-07,75.0,64
Epiroc AB ser. A,2025-08,43.93939393939394,66
Epiroc AB ser. A,2025-09,99.57264957264957,234
Epiroc AB ser. A,2025-10,100.0,69
Epiroc AB ser. A,2025-11,71.62162162162163,74
Epiroc AB ser. A,2025-12,98.34710743801654,242
"Ericsson, Telefonab. L M ser. B",2024-04,100.0,4
"Ericsson, Telefonab. L M ser. B",2024-05,100.0,62
"Ericsson, Telefonab. L M ser. B",2024-06,89.2156862745098,102
"Ericsson, Telefonab. L M ser. B",2024-07,99.09909909909909,111
"Ericsson, Telefonab. L M ser. B",2024-08,96.26865671641791,134
"Ericsson, Telefonab. L M ser. B",2024-09,99.3975903614458,166
"Ericsson, Telefonab. L M ser. B",2024-10,99.28057553956835,139
"Ericsson, Telefonab. L M ser. B",2024-11,99.21259842519686,127
"Ericsson, Telefonab. L M ser. B",2024-12,100.0,239
"Ericsson, Telefonab. L M ser. B",2025-01,82.03125,128
"Ericsson, Telefonab. L M ser. B",2025-02,79.43262411347519,141
"Ericsson, Telefonab. L M ser. B",2025-03,85.56338028169014,284
"Ericsson, Telefonab. L M ser. B",2025-04,64.8,125
"Ericsson, Telefonab. L M ser. B",2025-05,94.02985074626866,134
"Ericsson, Telefonab. L M ser. B",2025-06,89.90384615384616,208
"Ericsson, Telefonab. L M ser. B",2025-07,51.21951219512195,123
"Ericsson, Telefonab. L M ser. B",2025-08,82.1917808219178,146
"Ericsson, Telefonab. L M ser. B",2025-09,99.079754601227,326
"Ericsson, Telefonab. L M ser. B",2025-10,100.0,148
"Ericsson, Telefonab. L M ser. B",2025-11,94.63087248322147,149
"Ericsson, Telefonab. L M ser. B",2025-12,99.77973568281938,454
Essity AB ser. B,2024-05,100.0,18
Essity AB ser. B,2024-06,100.0,41
Essity AB ser. B,2024-07,100.0,61
Essity AB ser. B,2024-08,100.0,66
Essity AB ser. B,2024-09,99.02912621359224,103
Essity AB ser. B,2024-10,100.0,65
Essity AB ser. B,2024-11,89.70588235294117,68
Essity AB ser. B,2024-12,92.89940828402366,169
Essity AB ser. B,2025-01,100.0,63
Essity AB ser. B,2025-02,100.0,68
Essity AB ser. B,2025-03,98.61751152073732,217
Essity AB ser. B,2025-04,100.0,67
Essity AB ser. B,2025-05,96.72131147540983,61
Essity AB ser. B,2025-06,44.60431654676259,139
Essity AB ser. B,2025-07,9.230769230769232,65
Essity AB ser. B,2025-08,54.54545454545454,66
Essity AB ser. B,2025-09,27.6,250
Essity AB ser. B,2025-10,100.0,69
Essity AB ser. B,2025-11,98.64864864864865,74
Essity AB ser. B,2025-12,100.0,270
Evolution AB,2024-04,100.0,6
Evolution AB,2024-05,70.27027027027027,74
Evolution AB,2024-06,43.63636363636363,110
Evolution AB,2024-07,72.64957264957265,117
Evolution AB,2024-08,73.46938775510205,147
Evolution AB,2024-09,64.24581005586593,179
Evolution AB,2024-10,80.95238095238095,147
Evolution AB,2024-11,86.92307692307692,130
Evolution AB,2024-12,42.857142857142854,238
Evolution AB,2025-01,41.269841269841265,126
Evolution AB,2025-02,78.01418439716312,141
Evolution AB,2025-03,35.6401384083045,289
Evolution AB,2025-04,88.8,125
Evolution AB,2025-05,48.091603053435115,131
Evolution AB,2025-06,84.8780487804878,205
Evolution AB,2025-07,99.1869918699187,123
Evolution AB,2025-08,83.56164383561644,146
Evolution AB,2025-09,88.03680981595092,326
Evolution AB,2025-10,33.78378378378378,148
Evolution AB,2025-11,50.33557046979866,149
Evolution AB,2025-12,50.326797385620914,459
Fabege AB,2024-04,100.0,1
Fabege AB,2024-05,100.0,18
Fabege AB,2024-06,50.0,40
Fabege AB,2024-07,98.30508474576271,59
Fabege AB,2024-08,100.0,66
Fabege AB,2024-09,100.0,105
Fabege AB,2024-10,75.36231884057972,69
Fabege AB,2024-11,55.88235294117647,68
Fabege AB,2024-12,82.35294117647058,170
Fabege AB,2025-01,95.23809523809523,63
Fabege AB,2025-02,100.0,68
Fabege AB,2025-03,89.38053097345133,226
Fabege AB,2025-04,100.0,67
Fabege AB,2025-05,100.0,60
Fabege AB,2025-06,100.0,139
Fabege AB,2025-07,100.0,65
Fabege AB,2025-08,100.0,65
Fabege AB,2025-09,95.2191235059761,251
Fabege AB,2025-10,100.0,69
Fabege AB,2025-11,91.8918918918919,74
Fabege AB,2025-12,100.0,266
Fastighets AB Balder ser. B,2024-04,100.0,1
Fastighets AB Balder ser. B,2024-05,100.0,7
Fastighets AB Balder ser. B,2024-06,100.0,28
Fastighets AB Balder ser. B,2024-07,93.75,48
Fastighets AB Balder ser. B,2024-08,100.0,64
Fastighets AB Balder ser. B,2024-09,100.0,92
Fastighets AB Balder ser. B,2024-10,91.04477611940298,67
Fastighets AB Balder ser. B,2024-11,98.52941176470588,68
Fastighets AB Balder ser. B,2024-12,79.87421383647799,159
Fastighets AB Balder ser. B,2025-01,96.72131147540983,61
Fastighets AB Balder ser. B,2025-02,82.08955223880598,67
Fastighets AB Balder ser. B,2025-03,41.0377358490566,212
Fastighets AB Balder ser. B,2025-04,56.92307692307692,65
Fastighets AB Balder ser. B,2025-05,89.65517241379311,58
Fastighets AB Balder ser. B,2025-06,96.37681159420289,138
Fastighets AB Balder ser. B,2025-07,100.0,64
Fastighets AB Balder ser. B,2025-08,100.0,62
Fastighets AB Balder ser. B,2025-09,100.0,230
Fastighets AB Balder ser. B,2025-10,100.0,64
Fastighets AB Balder ser. B,2025-11,90.54054054054053,74
Fastighets AB Balder ser. B,2025-12,97.86324786324786,234
Getinge AB ser. B,2024-04,100.0,1
Getinge AB ser. B,2024-05,5.555555555555555,18
Getinge AB ser. B,2024-06,40.0,40
Getinge AB ser. B,2024-07,85.24590163934425,61
Getinge AB ser. B,2024-08,100.0,65
Getinge AB ser. B,2024-09,100.0,105
Getinge AB ser. B,2024-10,76.47058823529412,68
Getinge AB ser. B,2024-11,14.492753623188406,69
Getinge AB ser. B,2024-12,51.76470588235295,170
Getinge AB ser. B,2025-01,100.0,62
Getinge AB ser. B,2025-02,100.0,68
Getinge AB ser. B,2025-03,100.0,229
Getinge AB ser. B,2025-04,50.76923076923077,65
Getinge AB ser. B,2025-05,82.45614035087719,57
Getinge AB ser. B,2025-06,73.18840579710145,138
Getinge AB ser. B,2025-07,100.0,65
Getinge AB ser. B,2025-08,100.0,65
Getinge AB ser. B,2025-09,100.0,248
Getinge AB ser. B,2025-10,100.0,69
Getinge AB ser. B,2025-11,77.02702702702703,74
Getinge AB ser. B,2025-12,100.0,267
"Hennes & Mauritz AB, H & M ser. B",2024-04,100.0,6
"Hennes & Mauritz AB, H & M ser. B",2024-05,91.78082191780823,73
"Hennes & Mauritz AB, H & M ser. B",2024-06,88.07339449541286,109
"Hennes & Mauritz AB, H & M ser. B",2024-07,85.47008547008546,117
"Hennes & Mauritz AB, H & M ser. B",2024-08,60.416666666666664,144
"Hennes & Mauritz AB, H & M ser. B",2024-09,95.55555555555556,180
"Hennes & Mauritz AB, H & M ser. B",2024-10,86.89655172413792,145
"Hennes & Mauritz AB, H & M ser. B",2024-11,73.38709677419355,124
"Hennes & Mauritz AB, H & M ser. B",2024-12,78.51239669421489,242
"Hennes & Mauritz AB, H & M ser. B",2025-01,74.60317460317461,126
"Hennes & Mauritz AB, H & M ser. B",2025-02,87.32394366197182,142
"Hennes & Mauritz AB, H & M ser. B",2025-03,62.5,288
"Hennes & Mauritz AB, H & M ser. B",2025-04,96.0,125
"Hennes & Mauritz AB, H & M ser. B",2025-05,92.36641221374046,131
"Hennes & Mauritz AB, H & M ser. B",2025-06,72.6829268292683,205
"Hennes & Mauritz AB, H & M ser. B",2025-07,99.1869918699187,123
"Hennes & Mauritz AB, H & M ser. B",2025-08,84.13793103448276,145
"Hennes & Mauritz AB, H & M ser. B",2025-09,99.38271604938271,324
"Hennes & Mauritz AB, H & M ser. B",2025-10,95.27027027027027,148
"Hennes & Mauritz AB, H & M ser. B",2025-11,92.61744966442953,149
"Hennes & Mauritz AB, H & M ser. B",2025-12,99.77011494252874,435
Hexagon AB ser. B,2024-04,100.0,1
Hexagon AB ser. B,2024-05,82.35294117647058,17
Hexagon AB ser. B,2024-06,100.0,41
Hexagon AB ser. B,2024-07,85.0,60
Hexagon AB ser. B,2024-08,20.3125,64
Hexagon AB ser. B,2024-09,40.0,105
Hexagon AB ser. B,2024-10,85.29411764705883,68
Hexagon AB ser. B,2024-11,46.3768115942029,69
Hexagon AB ser. B,2024-12,98.82352941176471,170
Hexagon AB ser. B,2025-01,100.0,63
Hexagon AB ser. B,2025-02,100.0,68
Hexagon AB ser. B,2025-03,89.82300884955751,226
Hexagon AB ser. B,2025-04,11.940298507462686,67
Hexagon AB ser. B,2025-05,51.66666666666667,60
Hexagon AB ser. B,2025-06,39.568345323741006,139
Hexagon AB ser. B,2025-07,100.0,65
Hexagon AB ser. B,2025-08,100.0,65
Hexagon AB ser. B,2025-09,100.0,251
Hexagon AB ser. B,2025-10,100.0,69
Hexagon AB ser. B,2025-11,87.83783783783784,74
Hexagon AB ser. B,2025-12,96.82539682539682,252
Holmen AB ser. B,2024-04,100.0,1
Holmen AB ser. B,2024-05,100.0,16
Holmen AB ser. B,2024-06,68.29268292682927,41
Holmen AB ser. B,2024-07,91.52542372881356,59
Holmen AB ser. B,2024-08,77.27272727272727,66
Holmen AB ser. B,2024-09,100.0,103
Holmen AB ser. B,2024-10,90.76923076923077,65
Holmen AB ser. B,2024-11,78.78787878787878,66
Holmen AB ser. B,2024-12,75.7396449704142,169
Holmen AB ser. B,2025-01,98.38709677419355,62
Holmen AB ser. B,2025-02,95.58823529411765,68
Holmen AB ser. B,2025-03,92.27272727272727,220
Holmen AB ser. B,2025-04,14.925373134328357,67
Holmen AB ser. B,2025-05,100.0,61
Holmen AB ser. B,2025-06,80.57553956834532,139
Holmen AB ser. B,2025-07,50.0,64
Holmen AB ser. B,2025-08,69.23076923076923,65
Holmen AB ser. B,2025-09,58.47457627118644,236
Holmen AB ser. B,2025-10,75.36231884057972,69
Holmen AB ser. B,2025-11,87.67123287671232,73
Holmen AB ser. B,2025-12,81.0126582278481,237
Husqvarna AB ser. B,2024-04,100.0,1
Husqvarna AB ser. B,2024-05,100.0,18
Husqvarna AB ser. B,2024-06,100.0,40
Husqvarna AB ser. B,2024-07,11.475409836065573,61
Husqvarna AB ser. B,2024-08,28.35820895522388,67
Husqvarna AB ser. B,2024-09,39.62264150943396,106
Husqvarna AB ser. B,2024-10,94.20289855072464,69
Husqvarna AB ser. B,2024-11,81.15942028985508,69
Husqvarna AB ser. B,2024-12,18.128654970760234,171
Husqvarna AB ser. B,2025-01,46.03174603174603,63
Husqvarna AB ser. B,2025-02,76.47058823529412,68
Husqvarna AB ser. B,2025-03,6.086956521739131,230
Husqvarna AB ser. B,2025-04,16.666666666666664,66
Husqvarna AB ser. B,2025-05,85.24590163934425,61
Husqvarna AB ser. B,2025-06,71.22302158273382,139
Husqvarna AB ser. B,2025-07,100.0,65
Husqvarna AB ser. B,2025-08,100.0,66
Husqvarna AB ser. B,2025-09,77.87234042553192,235
Husqvarna AB ser. B,2025-10,89.85507246376811,69
Husqvarna AB ser. B,2025-11,37.83783783783784,74
Husqvarna AB ser. B,2025-12,88.5593220338983,236
