DataType|Stock|HistoricalPeakThreshold|ProbMethod|CurrentProb_Bin|DTE_Bin|RecoveryCandidate_N|RecoveryCandidate_WorthlessCount|RecoveryCandidate_WorthlessRate_pct|AllOptions_N|AllOptions_WorthlessCount|AllOptions_WorthlessRate_pct|RecoveryAdvantage_pp
scenario||0.8|Bias Corrected|70-80%|15-21|6774|5783|85.37053439622085|9015|7008|77.73710482529118|7.633429570929664
scenario||0.8|Bias Corrected|70-80%|0-7|4687|4005|85.44911457222103|10214|8105|79.35186998237714|6.097244589843896
scenario||0.8|Bias Corrected|70-80%|36+|13012|11149|85.68244697202583|15215|12160|79.92113046335852|5.761316508667306
scenario||0.8|Bias Corrected|70-80%|29-35|2445|2138|87.4437627811861|3204|2620|81.77278401997503|5.67097876121106
scenario||0.8|Bias Corrected|70-80%|8-14|7918|6679|84.35210911846426|11882|9191|77.35229759299781|6.999811525466441
scenario||0.8|Bias Corrected|60-70%|22-28|2791|2415|86.52812611967036|4609|3363|72.9659362117596|13.562189907910764
scenario||0.8|Bias Corrected|60-70%|15-21|3946|3356|85.04815002534212|7068|4862|68.78890775325411|16.259242272088017
scenario||0.8|Bias Corrected|60-70%|0-7|3904|3040|77.8688524590164|10022|6853|68.3795649570944|9.489287501921993
scenario||0.8|Bias Corrected|60-70%|36+|9411|7801|82.89236000425035|13598|9656|71.01044271216355|11.881917292086795
scenario||0.8|Bias Corrected|60-70%|29-35|1724|1434|83.1786542923434|2612|1906|72.9709035222052|10.20775077013819
scenario||0.8|Bias Corrected|60-70%|8-14|5799|4596|79.25504397309882|11763|7837|66.62416050327298|12.630883469825848
scenario||0.8|Bias Corrected|50-60%|22-28|1404|1173|83.54700854700855|3153|1902|60.32350142721218|23.223507119796366
scenario||0.8|Bias Corrected|50-60%|0-7|2813|1916|68.11233558478492|8685|5167|59.49337938975244|8.618956195032474
scenario||0.8|Bias Corrected|50-60%|8-14|2482|1876|75.58420628525383|7285|4150|56.96636925188744|18.617837033366392
scenario||0.8|Bias Corrected|50-60%|15-21|1584|1358|85.73232323232324|4070|2493|61.253071253071255|24.479251979251984
scenario||0.8|Bias Corrected|50-60%|36+|5199|4272|82.16964800923255|9656|6100|63.17315658657829|18.99649142265425
scenario||0.8|Bias Corrected|50-60%|29-35|1164|899|77.23367697594502|2289|1368|59.76408912188729|17.46958785405773
scenario||0.8|Historical IV|70-80%|22-28|3548|2993|84.35738444193912|4918|3867|78.62952419682799|5.727860245111131
scenario||0.8|Historical IV|70-80%|15-21|6478|5371|82.91139240506328|8272|6403|77.40570599613153|5.505686408931751
scenario||0.8|Historical IV|70-80%|0-7|2973|2408|80.99562731247897|7764|5747|74.02112313240598|6.974504180072998
scenario||0.8|Historical IV|70-80%|36+|12922|10832|83.82603312180777|16260|12929|79.51414514145142|4.311887980356346
scenario||0.8|Historical IV|70-80%|29-35|2522|2149|85.2101506740682|3523|2864|81.29435140505251|3.915799269015693
scenario||0.8|Historical IV|70-80%|8-14|8463|6800|80.3497577691126|12689|9465|74.59216644337616|5.757591325736442
scenario||0.8|Historical IV|80-90%|22-28|5338|4735|88.70363431997002|5338|4735|88.70363431997002|0.0
scenario||0.8|Historical IV|80-90%|15-21|9054|7740|85.48707753479125|9054|7740|85.48707753479125|0.0
scenario||0.8|Historical IV|80-90%|36+|14996|13153|87.71005601493732|14996|13153|87.71005601493732|0.0
scenario||0.8|Historical IV|80-90%|8-14|12798|10937|85.45866541647132|12798|10937|85.45866541647132|0.0
scenario||0.8|Historical IV|80-90%|29-35|3297|2851|86.472550803761|3297|2851|86.472550803761|0.0
scenario||0.8|Historical IV|80-90%|0-7|8029|6856|85.39045958400797|8029|6856|85.39045958400797|0.0
scenario||0.8|Historical IV|60-70%|22-28|2260|1855|82.07964601769912|3864|2652|68.63354037267081|13.446105645028313
scenario||0.8|Historical IV|60-70%|15-21|3699|3008|81.31927547985941|5889|4022|68.29682458821532|13.022450891644098
scenario||0.8|Historical IV|60-70%|36+|9339|7491|80.21201413427562|13787|9610|69.70334372960035|10.508670404675271
scenario||0.8|Historical IV|60-70%|8-14|4517|3398|75.22692052247066|10153|6562|64.63114350438293|10.59577701808773
scenario||0.8|Historical IV|60-70%|29-35|1612|1270|78.78411910669976|2453|1674|68.24296779453731|10.541151312162455
scenario||0.8|Historical IV|60-70%|0-7|1415|1000|70.6713780918728|5582|3588|64.27803654604085|6.3933415458319445
scenario||0.8|Historical IV|50-60%|22-28|1090|876|80.36697247706422|2530|1500|59.28853754940712|21.078434927657103
scenario||0.8|Historical IV|50-60%|15-21|1574|1229|78.08132147395172|3389|2108|62.201239303629386|15.880082170322332
scenario||0.8|Historical IV|50-60%|0-7|276|181|65.57971014492753|1845|1038|56.26016260162602|9.31954754330151
scenario||0.8|Historical IV|50-60%|36+|5635|4360|77.37355811889974|9995|6007|60.10005002501251|17.27350809388723
scenario||0.8|Historical IV|50-60%|29-35|734|545|74.25068119891009|1531|888|58.00130633572829|16.2493748631818
scenario||0.8|Historical IV|50-60%|8-14|1565|1087|69.45686900958466|5109|2907|56.89958896065767|12.557280048926998
scenario||0.85|Weighted Average|80-90%|22-28|4385|4127|94.1163055872292|5231|4794|91.64595679602373|2.470348791205481
scenario||0.85|Weighted Average|80-90%|0-7|5187|4781|92.1727395411606|10159|8948|88.07953538734128|4.093204153819315
scenario||0.85|Weighted Average|80-90%|15-21|8192|7499|91.54052734375|9747|8596|88.19123832974249|3.3492890140075104
scenario||0.85|Weighted Average|80-90%|36+|14483|13488|93.1298764068218|16665|15057|90.35103510351034|2.7788413033114523
scenario||0.85|Weighted Average|80-90%|8-14|8536|7776|91.09653233364574|11928|10448|87.59221998658619|3.504312347059553
scenario||0.85|Weighted Average|80-90%|29-35|2121|1976|93.16360207449316|2755|2455|89.11070780399274|4.052894270500431
scenario||0.85|Weighted Average|70-80%|22-28|2902|2675|92.17780840799448|5214|4257|81.64556962025317|10.53223878774132
scenario||0.85|Weighted Average|70-80%|15-21|4957|4474|90.25620334879969|9105|7124|78.24272377814387|12.013479570655804
scenario||0.85|Weighted Average|70-80%|0-7|2604|2261|86.82795698924731|10170|8014|78.80039331366766|8.027563675579657
scenario||0.85|Weighted Average|70-80%|36+|10781|9761|90.5389110472127|16012|12920|80.68948288783413|9.849428159378562
scenario||0.85|Weighted Average|70-80%|8-14|5147|4524|87.89586166699048|12100|9319|77.01652892561984|10.879332741370646
scenario||0.85|Weighted Average|70-80%|29-35|1696|1545|91.09669811320757|3024|2451|81.0515873015873|10.045110811620248
scenario||0.85|Weighted Average|60-70%|22-28|1962|1771|90.26503567787972|4604|3336|72.45873153779321|17.806304140086496
scenario||0.85|Weighted Average|60-70%|15-21|2669|2403|90.03372049456725|7234|4972|68.73099253525021|21.30272795931704
scenario||0.85|Weighted Average|60-70%|0-7|2132|1690|79.26829268292683|9995|6787|67.903951975988|11.364340706938831
scenario||0.85|Weighted Average|60-70%|36+|7129|6319|88.63795763781737|14335|10168|70.93128705964423|17.70667057817313
scenario||0.85|Weighted Average|60-70%|8-14|3350|2776|82.86567164179105|11809|7771|65.8057413836904|17.05993025810065
scenario||0.85|Weighted Average|60-70%|29-35|1196|1053|88.04347826086956|2510|1785|71.11553784860558|16.92794041226398
scenario||0.85|Weighted Average|50-60%|22-28|893|787|88.12989921612542|3147|1858|59.0403558945027|29.08954332162272
scenario||0.85|Weighted Average|50-60%|0-7|1399|934|66.76197283774124|8210|4833|58.86723507917174|7.894737758569498
